"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Precipitation Amount","1960 January","Malin Head","Millimetres","113"
"Precipitation Amount","1960 January","Claremorris","Millimetres","113.9"
"Precipitation Amount","1960 January","Valentia Observatory","Millimetres","164.4"
"Precipitation Amount","1960 January","Belmullet","Millimetres","101"
"Precipitation Amount","1960 January","Shannon Airport","Millimetres","83.1"
"Precipitation Amount","1960 January","Dublin Airport","Millimetres","87.4"
"Precipitation Amount","1960 January","Mullingar","Millimetres","96.5"
"Precipitation Amount","1960 January","Cork Airport","Millimetres",""
"Precipitation Amount","1960 January","Casement","Millimetres",""
"Precipitation Amount","1960 January","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 January","Roches Point","Millimetres",""
"Precipitation Amount","1960 January","Markree","Millimetres",""
"Precipitation Amount","1960 February","Malin Head","Millimetres","102.9"
"Precipitation Amount","1960 February","Claremorris","Millimetres","89.2"
"Precipitation Amount","1960 February","Valentia Observatory","Millimetres","135.2"
"Precipitation Amount","1960 February","Belmullet","Millimetres","91.6"
"Precipitation Amount","1960 February","Shannon Airport","Millimetres","47.2"
"Precipitation Amount","1960 February","Dublin Airport","Millimetres","35.2"
"Precipitation Amount","1960 February","Mullingar","Millimetres","53.2"
"Precipitation Amount","1960 February","Cork Airport","Millimetres",""
"Precipitation Amount","1960 February","Casement","Millimetres",""
"Precipitation Amount","1960 February","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 February","Roches Point","Millimetres",""
"Precipitation Amount","1960 February","Markree","Millimetres",""
"Precipitation Amount","1960 March","Malin Head","Millimetres","44.4"
"Precipitation Amount","1960 March","Claremorris","Millimetres","47.4"
"Precipitation Amount","1960 March","Valentia Observatory","Millimetres","122.9"
"Precipitation Amount","1960 March","Belmullet","Millimetres","69"
"Precipitation Amount","1960 March","Shannon Airport","Millimetres","44.7"
"Precipitation Amount","1960 March","Dublin Airport","Millimetres","97.2"
"Precipitation Amount","1960 March","Mullingar","Millimetres","49.3"
"Precipitation Amount","1960 March","Cork Airport","Millimetres",""
"Precipitation Amount","1960 March","Casement","Millimetres",""
"Precipitation Amount","1960 March","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 March","Roches Point","Millimetres",""
"Precipitation Amount","1960 March","Markree","Millimetres",""
"Precipitation Amount","1960 April","Malin Head","Millimetres","54.1"
"Precipitation Amount","1960 April","Claremorris","Millimetres","95.6"
"Precipitation Amount","1960 April","Valentia Observatory","Millimetres","102.8"
"Precipitation Amount","1960 April","Belmullet","Millimetres","66.8"
"Precipitation Amount","1960 April","Shannon Airport","Millimetres","70.6"
"Precipitation Amount","1960 April","Dublin Airport","Millimetres","27.2"
"Precipitation Amount","1960 April","Mullingar","Millimetres","72.6"
"Precipitation Amount","1960 April","Cork Airport","Millimetres",""
"Precipitation Amount","1960 April","Casement","Millimetres",""
"Precipitation Amount","1960 April","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 April","Roches Point","Millimetres",""
"Precipitation Amount","1960 April","Markree","Millimetres",""
"Precipitation Amount","1960 May","Malin Head","Millimetres","59.8"
"Precipitation Amount","1960 May","Claremorris","Millimetres","54.4"
"Precipitation Amount","1960 May","Valentia Observatory","Millimetres","84.5"
"Precipitation Amount","1960 May","Belmullet","Millimetres","56.1"
"Precipitation Amount","1960 May","Shannon Airport","Millimetres","109.4"
"Precipitation Amount","1960 May","Dublin Airport","Millimetres","52.4"
"Precipitation Amount","1960 May","Mullingar","Millimetres","69.4"
"Precipitation Amount","1960 May","Cork Airport","Millimetres",""
"Precipitation Amount","1960 May","Casement","Millimetres",""
"Precipitation Amount","1960 May","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 May","Roches Point","Millimetres",""
"Precipitation Amount","1960 May","Markree","Millimetres",""
"Precipitation Amount","1960 June","Malin Head","Millimetres","79.4"
"Precipitation Amount","1960 June","Claremorris","Millimetres","114.3"
"Precipitation Amount","1960 June","Valentia Observatory","Millimetres","68.6"
"Precipitation Amount","1960 June","Belmullet","Millimetres","89.5"
"Precipitation Amount","1960 June","Shannon Airport","Millimetres","80.2"
"Precipitation Amount","1960 June","Dublin Airport","Millimetres","51.1"
"Precipitation Amount","1960 June","Mullingar","Millimetres","92.1"
"Precipitation Amount","1960 June","Cork Airport","Millimetres",""
"Precipitation Amount","1960 June","Casement","Millimetres",""
"Precipitation Amount","1960 June","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 June","Roches Point","Millimetres",""
"Precipitation Amount","1960 June","Markree","Millimetres",""
"Precipitation Amount","1960 July","Malin Head","Millimetres","129.5"
"Precipitation Amount","1960 July","Claremorris","Millimetres","127.3"
"Precipitation Amount","1960 July","Valentia Observatory","Millimetres","174.5"
"Precipitation Amount","1960 July","Belmullet","Millimetres","112.9"
"Precipitation Amount","1960 July","Shannon Airport","Millimetres","121"
"Precipitation Amount","1960 July","Dublin Airport","Millimetres","139.8"
"Precipitation Amount","1960 July","Mullingar","Millimetres","157.5"
"Precipitation Amount","1960 July","Cork Airport","Millimetres",""
"Precipitation Amount","1960 July","Casement","Millimetres",""
"Precipitation Amount","1960 July","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 July","Roches Point","Millimetres",""
"Precipitation Amount","1960 July","Markree","Millimetres",""
"Precipitation Amount","1960 August","Malin Head","Millimetres","103.4"
"Precipitation Amount","1960 August","Claremorris","Millimetres","113.2"
"Precipitation Amount","1960 August","Valentia Observatory","Millimetres","60"
"Precipitation Amount","1960 August","Belmullet","Millimetres","84.3"
"Precipitation Amount","1960 August","Shannon Airport","Millimetres","82.9"
"Precipitation Amount","1960 August","Dublin Airport","Millimetres","86.3"
"Precipitation Amount","1960 August","Mullingar","Millimetres","95.6"
"Precipitation Amount","1960 August","Cork Airport","Millimetres",""
"Precipitation Amount","1960 August","Casement","Millimetres",""
"Precipitation Amount","1960 August","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 August","Roches Point","Millimetres",""
