"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Sunshine Duration","1960 January","Malin Head","Hours","42.3"
"Sunshine Duration","1960 January","Claremorris","Hours","62.4"
"Sunshine Duration","1960 January","Valentia Observatory","Hours","67.1"
"Sunshine Duration","1960 January","Belmullet","Hours","61.5"
"Sunshine Duration","1960 January","Shannon Airport","Hours","61.6"
"Sunshine Duration","1960 January","Dublin Airport","Hours","54.5"
"Sunshine Duration","1960 January","Mullingar","Hours","68.6"
"Sunshine Duration","1960 January","Cork Airport","Hours",""
"Sunshine Duration","1960 January","Casement","Hours",""
"Sunshine Duration","1960 January","Phoenix Park","Hours",""
"Sunshine Duration","1960 January","Roches Point","Hours",""
"Sunshine Duration","1960 January","Markree","Hours",""
"Sunshine Duration","1960 February","Malin Head","Hours","109.5"
"Sunshine Duration","1960 February","Claremorris","Hours","108.9"
"Sunshine Duration","1960 February","Valentia Observatory","Hours","100.4"
"Sunshine Duration","1960 February","Belmullet","Hours","105.6"
"Sunshine Duration","1960 February","Shannon Airport","Hours","100.8"
"Sunshine Duration","1960 February","Dublin Airport","Hours","109"
"Sunshine Duration","1960 February","Mullingar","Hours","120.1"
"Sunshine Duration","1960 February","Cork Airport","Hours",""
"Sunshine Duration","1960 February","Casement","Hours",""
"Sunshine Duration","1960 February","Phoenix Park","Hours",""
"Sunshine Duration","1960 February","Roches Point","Hours",""
"Sunshine Duration","1960 February","Markree","Hours",""
"Sunshine Duration","1960 March","Malin Head","Hours","84.1"
"Sunshine Duration","1960 March","Claremorris","Hours","56.6"
"Sunshine Duration","1960 March","Valentia Observatory","Hours","90.4"
"Sunshine Duration","1960 March","Belmullet","Hours","98.1"
"Sunshine Duration","1960 March","Shannon Airport","Hours","73.3"
"Sunshine Duration","1960 March","Dublin Airport","Hours","55.5"
"Sunshine Duration","1960 March","Mullingar","Hours","59.6"
"Sunshine Duration","1960 March","Cork Airport","Hours",""
"Sunshine Duration","1960 March","Casement","Hours",""
"Sunshine Duration","1960 March","Phoenix Park","Hours",""
"Sunshine Duration","1960 March","Roches Point","Hours",""
"Sunshine Duration","1960 March","Markree","Hours",""
"Sunshine Duration","1960 April","Malin Head","Hours","169.1"
"Sunshine Duration","1960 April","Claremorris","Hours","134.7"
"Sunshine Duration","1960 April","Valentia Observatory","Hours","178.8"
"Sunshine Duration","1960 April","Belmullet","Hours","175"
"Sunshine Duration","1960 April","Shannon Airport","Hours","139.3"
"Sunshine Duration","1960 April","Dublin Airport","Hours","176.5"
"Sunshine Duration","1960 April","Mullingar","Hours","153.5"
"Sunshine Duration","1960 April","Cork Airport","Hours",""
"Sunshine Duration","1960 April","Casement","Hours",""
"Sunshine Duration","1960 April","Phoenix Park","Hours",""
"Sunshine Duration","1960 April","Roches Point","Hours",""
"Sunshine Duration","1960 April","Markree","Hours",""
"Sunshine Duration","1960 May","Malin Head","Hours","216.2"
"Sunshine Duration","1960 May","Claremorris","Hours","170.4"
"Sunshine Duration","1960 May","Valentia Observatory","Hours","165.7"
"Sunshine Duration","1960 May","Belmullet","Hours","198.4"
"Sunshine Duration","1960 May","Shannon Airport","Hours","172.5"
"Sunshine Duration","1960 May","Dublin Airport","Hours","210.9"
"Sunshine Duration","1960 May","Mullingar","Hours","188.3"
"Sunshine Duration","1960 May","Cork Airport","Hours",""
"Sunshine Duration","1960 May","Casement","Hours",""
"Sunshine Duration","1960 May","Phoenix Park","Hours",""
"Sunshine Duration","1960 May","Roches Point","Hours",""
"Sunshine Duration","1960 May","Markree","Hours",""
"Sunshine Duration","1960 June","Malin Head","Hours","223.3"
"Sunshine Duration","1960 June","Claremorris","Hours","182.8"
"Sunshine Duration","1960 June","Valentia Observatory","Hours","205.3"
"Sunshine Duration","1960 June","Belmullet","Hours","220.6"
"Sunshine Duration","1960 June","Shannon Airport","Hours","195.8"
"Sunshine Duration","1960 June","Dublin Airport","Hours","241.6"
"Sunshine Duration","1960 June","Mullingar","Hours","227.7"
"Sunshine Duration","1960 June","Cork Airport","Hours",""
"Sunshine Duration","1960 June","Casement","Hours",""
"Sunshine Duration","1960 June","Phoenix Park","Hours",""
"Sunshine Duration","1960 June","Roches Point","Hours",""
"Sunshine Duration","1960 June","Markree","Hours",""
"Sunshine Duration","1960 July","Malin Head","Hours","153.2"
"Sunshine Duration","1960 July","Claremorris","Hours","114.5"
"Sunshine Duration","1960 July","Valentia Observatory","Hours","147.2"
"Sunshine Duration","1960 July","Belmullet","Hours","171.3"
"Sunshine Duration","1960 July","Shannon Airport","Hours","143.4"
"Sunshine Duration","1960 July","Dublin Airport","Hours","173.1"
"Sunshine Duration","1960 July","Mullingar","Hours","151.8"
"Sunshine Duration","1960 July","Cork Airport","Hours",""
"Sunshine Duration","1960 July","Casement","Hours",""
"Sunshine Duration","1960 July","Phoenix Park","Hours",""
"Sunshine Duration","1960 July","Roches Point","Hours",""
"Sunshine Duration","1960 July","Markree","Hours",""
"Sunshine Duration","1960 August","Malin Head","Hours","191.5"
"Sunshine Duration","1960 August","Claremorris","Hours","144.1"
"Sunshine Duration","1960 August","Valentia Observatory","Hours","200.7"
"Sunshine Duration","1960 August","Belmullet","Hours","194.2"
"Sunshine Duration","1960 August","Shannon Airport","Hours","182.8"
"Sunshine Duration","1960 August","Dublin Airport","Hours","175.2"
"Sunshine Duration","1960 August","Mullingar","Hours","158.3"
"Sunshine Duration","1960 August","Cork Airport","Hours",""
"Sunshine Duration","1960 August","Casement","Hours",""
"Sunshine Duration","1960 August","Phoenix Park","Hours",""
"Sunshine Duration","1960 August","Roches Point","Hours",""
"Sunshine Duration","1960 August","Markree","Hours",""
"Sunshine Duration","1960 September","Malin Head","Hours","149.6"
"Sunshine Duration","1960 September","Claremorris","Hours","89.6"
"Sunshine Duration","1960 September","Valentia Observatory","Hours","123.9"
"Sunshine Duration","1960 September","Belmullet","Hours","110.1"
"Sunshine Duration","1960 September","Shannon Airport","Hours","131.7"
"Sunshine Duration","1960 September","Dublin Airport","Hours","119.2"
"Sunshine Duration","1960 September","Mullingar","Hours","113.2"
"Sunshine Duration","1960 September","Cork Airport","Hours",""
"Sunshine Duration","1960 September","Casement","Hours",""
"Sunshine Duration","1960 September","Phoenix Park","Hours",""
"Sunshine Duration","1960 September","Roches Point","Hours",""
"Sunshine Duration","1960 September","Markree","Hours",""
"Sunshine Duration","1960 October","Malin Head","Hours","54.8"
"Sunshine Duration","1960 October","Claremorris","Hours","67.4"
"Sunshine Duration","1960 October","Valentia Observatory","Hours","101.5"
"Sunshine Duration","1960 October","Belmullet","Hours","82"
"Sunshine Duration","1960 October","Shannon Airport","Hours","87.4"
"Sunshine Duration","1960 October","Dublin Airport","Hours","78.9"
"Sunshine Duration","1960 October","Mullingar","Hours","83.7"
"Sunshine Duration","1960 October","Cork Airport","Hours",""
"Sunshine Duration","1960 October","Casement","Hours",""
"Sunshine Duration","1960 October","Phoenix Park","Hours",""
"Sunshine Duration","1960 October","Roches Point","Hours",""
"Sunshine Duration","1960 October","Markree","Hours",""
"Sunshine Duration","1960 November","Malin Head","Hours","59.5"
"Sunshine Duration","1960 November","Claremorris","Hours","50.3"
"Sunshine Duration","1960 November","Valentia Observatory","Hours","54.1"
"Sunshine Duration","1960 November","Belmullet","Hours","48.7"
"Sunshine Duration","1960 November","Shannon Airport","Hours","61.5"
"Sunshine Duration","1960 November","Dublin Airport","Hours","78.1"
"Sunshine Duration","1960 November","Mullingar","Hours","65.4"
"Sunshine Duration","1960 November","Cork Airport","Hours",""
"Sunshine Duration","1960 November","Casement","Hours",""
"Sunshine Duration","1960 November","Phoenix Park","Hours",""
"Sunshine Duration","1960 November","Roches Point","Hours",""
"Sunshine Duration","1960 November","Markree","Hours",""
"Sunshine Duration","1960 December","Malin Head","Hours","52.9"
"Sunshine Duration","1960 December","Claremorris","Hours","56.3"
"Sunshine Duration","1960 December","Valentia Observatory","Hours","34.3"
"Sunshine Duration","1960 December","Belmullet","Hours","37.1"
"Sunshine Duration","1960 December","Shannon Airport","Hours","52.3"
"Sunshine Duration","1960 December","Dublin Airport","Hours","88.7"
"Sunshine Duration","1960 December","Mullingar","Hours","72.7"
"Sunshine Duration","1960 December","Cork Airport","Hours",""
"Sunshine Duration","1960 December","Casement","Hours",""
"Sunshine Duration","1960 December","Phoenix Park","Hours",""
"Sunshine Duration","1960 December","Roches Point","Hours",""
"Sunshine Duration","1960 December","Markree","Hours",""
"Sunshine Duration","1961 January","Malin Head","Hours","64.8"
"Sunshine Duration","1961 January","Claremorris","Hours","54.9"
"Sunshine Duration","1961 January","Valentia Observatory","Hours","53.2"
"Sunshine Duration","1961 January","Belmullet","Hours","64.9"
"Sunshine Duration","1961 January","Shannon Airport","Hours","50"
"Sunshine Duration","1961 January","Dublin Airport","Hours","46.2"
"Sunshine Duration","1961 January","Mullingar","Hours","57.6"
"Sunshine Duration","1961 January","Cork Airport","Hours",""
"Sunshine Duration","1961 January","Casement","Hours",""
"Sunshine Duration","1961 January","Phoenix Park","Hours",""
"Sunshine Duration","1961 January","Roches Point","Hours",""
"Sunshine Duration","1961 January","Markree","Hours",""
"Sunshine Duration","1961 February","Malin Head","Hours","59.2"
"Sunshine Duration","1961 February","Claremorris","Hours","33.5"
"Sunshine Duration","1961 February","Valentia Observatory","Hours","32.4"
"Sunshine Duration","1961 February","Belmullet","Hours","43.6"
"Sunshine Duration","1961 February","Shannon Airport","Hours","61.9"
"Sunshine Duration","1961 February","Dublin Airport","Hours","98.6"
"Sunshine Duration","1961 February","Mullingar","Hours","67"
"Sunshine Duration","1961 February","Cork Airport","Hours",""
"Sunshine Duration","1961 February","Casement","Hours",""
"Sunshine Duration","1961 February","Phoenix Park","Hours",""
"Sunshine Duration","1961 February","Roches Point","Hours",""
"Sunshine Duration","1961 February","Markree","Hours",""
"Sunshine Duration","1961 March","Malin Head","Hours","96.3"
"Sunshine Duration","1961 March","Claremorris","Hours","79.3"
