"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Maximum Temperature","1960 January","Malin Head","Degrees C","8"
"Mean Maximum Temperature","1960 January","Claremorris","Degrees C","7"
"Mean Maximum Temperature","1960 January","Valentia Observatory","Degrees C","9.5"
"Mean Maximum Temperature","1960 January","Belmullet","Degrees C","8.3"
"Mean Maximum Temperature","1960 January","Shannon Airport","Degrees C","8.2"
"Mean Maximum Temperature","1960 January","Dublin Airport","Degrees C","7.7"
"Mean Maximum Temperature","1960 January","Mullingar","Degrees C","6.8"
"Mean Maximum Temperature","1960 January","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 January","Casement","Degrees C",""
"Mean Maximum Temperature","1960 January","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 January","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 January","Markree","Degrees C",""
"Mean Maximum Temperature","1960 February","Malin Head","Degrees C","7.3"
"Mean Maximum Temperature","1960 February","Claremorris","Degrees C","7.1"
"Mean Maximum Temperature","1960 February","Valentia Observatory","Degrees C","8.9"
"Mean Maximum Temperature","1960 February","Belmullet","Degrees C","7.9"
"Mean Maximum Temperature","1960 February","Shannon Airport","Degrees C","8"
"Mean Maximum Temperature","1960 February","Dublin Airport","Degrees C","7.2"
"Mean Maximum Temperature","1960 February","Mullingar","Degrees C","7.2"
"Mean Maximum Temperature","1960 February","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 February","Casement","Degrees C",""
"Mean Maximum Temperature","1960 February","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 February","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 February","Markree","Degrees C",""
"Mean Maximum Temperature","1960 March","Malin Head","Degrees C","8.8"
"Mean Maximum Temperature","1960 March","Claremorris","Degrees C","10.1"
"Mean Maximum Temperature","1960 March","Valentia Observatory","Degrees C","11.9"
"Mean Maximum Temperature","1960 March","Belmullet","Degrees C","10.5"
"Mean Maximum Temperature","1960 March","Shannon Airport","Degrees C","10.9"
"Mean Maximum Temperature","1960 March","Dublin Airport","Degrees C","8.6"
"Mean Maximum Temperature","1960 March","Mullingar","Degrees C","9.2"
"Mean Maximum Temperature","1960 March","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 March","Casement","Degrees C",""
"Mean Maximum Temperature","1960 March","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 March","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 March","Markree","Degrees C",""
"Mean Maximum Temperature","1960 April","Malin Head","Degrees C","11.7"
"Mean Maximum Temperature","1960 April","Claremorris","Degrees C","13"
"Mean Maximum Temperature","1960 April","Valentia Observatory","Degrees C","13.3"
"Mean Maximum Temperature","1960 April","Belmullet","Degrees C","12.6"
"Mean Maximum Temperature","1960 April","Shannon Airport","Degrees C","13.8"
"Mean Maximum Temperature","1960 April","Dublin Airport","Degrees C","12.6"
"Mean Maximum Temperature","1960 April","Mullingar","Degrees C","13.4"
"Mean Maximum Temperature","1960 April","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 April","Casement","Degrees C",""
"Mean Maximum Temperature","1960 April","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 April","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 April","Markree","Degrees C",""
"Mean Maximum Temperature","1960 May","Malin Head","Degrees C","14.9"
"Mean Maximum Temperature","1960 May","Claremorris","Degrees C","16.5"
"Mean Maximum Temperature","1960 May","Valentia Observatory","Degrees C","16.2"
"Mean Maximum Temperature","1960 May","Belmullet","Degrees C","15.4"
"Mean Maximum Temperature","1960 May","Shannon Airport","Degrees C","17.2"
"Mean Maximum Temperature","1960 May","Dublin Airport","Degrees C","15.7"
"Mean Maximum Temperature","1960 May","Mullingar","Degrees C","17"
"Mean Maximum Temperature","1960 May","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 May","Casement","Degrees C",""
"Mean Maximum Temperature","1960 May","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 May","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 May","Markree","Degrees C",""
"Mean Maximum Temperature","1960 June","Malin Head","Degrees C","16.8"
"Mean Maximum Temperature","1960 June","Claremorris","Degrees C","18.2"
"Mean Maximum Temperature","1960 June","Valentia Observatory","Degrees C","18"
"Mean Maximum Temperature","1960 June","Belmullet","Degrees C","16.9"
"Mean Maximum Temperature","1960 June","Shannon Airport","Degrees C","19.5"
"Mean Maximum Temperature","1960 June","Dublin Airport","Degrees C","18.9"
"Mean Maximum Temperature","1960 June","Mullingar","Degrees C","19.7"
"Mean Maximum Temperature","1960 June","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 June","Casement","Degrees C",""
"Mean Maximum Temperature","1960 June","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 June","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 June","Markree","Degrees C",""
"Mean Maximum Temperature","1960 July","Malin Head","Degrees C","16.8"
"Mean Maximum Temperature","1960 July","Claremorris","Degrees C","17.2"
"Mean Maximum Temperature","1960 July","Valentia Observatory","Degrees C","16.8"
"Mean Maximum Temperature","1960 July","Belmullet","Degrees C","17"
"Mean Maximum Temperature","1960 July","Shannon Airport","Degrees C","17.9"
"Mean Maximum Temperature","1960 July","Dublin Airport","Degrees C","18.3"
"Mean Maximum Temperature","1960 July","Mullingar","Degrees C","18.5"
"Mean Maximum Temperature","1960 July","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 July","Casement","Degrees C",""
"Mean Maximum Temperature","1960 July","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 July","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 July","Markree","Degrees C",""
"Mean Maximum Temperature","1960 August","Malin Head","Degrees C","16.6"
"Mean Maximum Temperature","1960 August","Claremorris","Degrees C","17.8"
"Mean Maximum Temperature","1960 August","Valentia Observatory","Degrees C","17.9"
"Mean Maximum Temperature","1960 August","Belmullet","Degrees C","17.2"
"Mean Maximum Temperature","1960 August","Shannon Airport","Degrees C","19.1"
"Mean Maximum Temperature","1960 August","Dublin Airport","Degrees C","17.8"
"Mean Maximum Temperature","1960 August","Mullingar","Degrees C","18.7"
"Mean Maximum Temperature","1960 August","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 August","Casement","Degrees C",""
"Mean Maximum Temperature","1960 August","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 August","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 August","Markree","Degrees C",""
"Mean Maximum Temperature","1960 September","Malin Head","Degrees C","15.6"
"Mean Maximum Temperature","1960 September","Claremorris","Degrees C","15.8"
"Mean Maximum Temperature","1960 September","Valentia Observatory","Degrees C","16.5"
"Mean Maximum Temperature","1960 September","Belmullet","Degrees C","15.8"
"Mean Maximum Temperature","1960 September","Shannon Airport","Degrees C","16.9"
"Mean Maximum Temperature","1960 September","Dublin Airport","Degrees C","16"
"Mean Maximum Temperature","1960 September","Mullingar","Degrees C","16"
"Mean Maximum Temperature","1960 September","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 September","Casement","Degrees C",""
"Mean Maximum Temperature","1960 September","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 September","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 September","Markree","Degrees C",""
"Mean Maximum Temperature","1960 October","Malin Head","Degrees C","12.7"
"Mean Maximum Temperature","1960 October","Claremorris","Degrees C","12.7"
"Mean Maximum Temperature","1960 October","Valentia Observatory","Degrees C","14.1"
"Mean Maximum Temperature","1960 October","Belmullet","Degrees C","13.3"
"Mean Maximum Temperature","1960 October","Shannon Airport","Degrees C","13.6"
"Mean Maximum Temperature","1960 October","Dublin Airport","Degrees C","13.1"
"Mean Maximum Temperature","1960 October","Mullingar","Degrees C","12.9"
"Mean Maximum Temperature","1960 October","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 October","Casement","Degrees C",""
"Mean Maximum Temperature","1960 October","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 October","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 October","Markree","Degrees C",""
"Mean Maximum Temperature","1960 November","Malin Head","Degrees C","9.7"
"Mean Maximum Temperature","1960 November","Claremorris","Degrees C","9.5"
